为 wei4 為 tame/su
前 qian2 前 zen/mae
太 tai4 太 futo
笑 xiao4 笑 wara
网 wang3 網 ami/mou
连 lian2 連 ren
全 quan2 全 zen
作 zuo4 作 saku
同 tong2 同 dou
场 chang3 場 ba/jou
令 ling4 令 rei
红 hong2 紅 momi/kurenai
性 xing4 性 saga/sei/shou
指 zhi3 指 yubi
达 da2 達 tachi
拍 pai1 拍 haku
线 xian4 線 sen
原 yuan2 原 gen/hara
村 cun1 村 mura
交 jiao1 交 kou
遍 bian4 遍 hen
千 qian1 千 sen
阵 zhen4 陣 jin
热 re4 熱 netsu
节 jie2 節 setsu/fushi/bushi/notto
香 xiang1 香 ka/kou
雪 xue3 雪 yuki
通 tong1 通 tsuu
冷 leng3 冷 rei
选 xuan3 選 sen
肉 rou4 肉 niku
云 yun2 雲 kumo
星 xing1 星 sei/hoshi
刀 dao1 刀 katana
纸 zhi3 紙 kami
现 xian4 現 gen
厚 hou4 厚 atsu
姓 xing4 姓 sei/kabane
痛 tong4 痛 ita/tsuu
油 you2 油 abura
校 jiao4 校 kou
诺 nuo4 諾 daku
园 yuan2 園 sono
盖 gai4 蓋 futa
兵 bing1 兵 hei/tsuwamono
善 shan4 善 zen
皆 jie1 皆 minna
丁 ding1 丁 tei/chou
编 bian1 編 hen
阳 yang2 陽 you
棒 bang4 棒 bou
精 jing1 精 sei
糖 tang2 糖 tou
粉 fen3 粉 kona
兼 jian1 兼 ken
蒙 meng2 蒙 mou
仙 xian1 仙 sen/sento
切 qie4 切 setsu
猛 meng3 猛 mou
眉 mei2 眉 mayu
乙 yi3 乙 kinoto/otsu
偏 pian1 偏 hen
贼 zei2 賊 zoku
埃 ai1 埃 hokori
末 mo4 末 matsu/sue
零 ling2 零 rei
拨 bo1 撥 bachi
乌 wu1 烏 karasu
洋 yang2 洋 you
唐 tang2 唐 tou
减 jian3 減 gen
景 jing3 景 kei
骨 gu3 骨 kotsu/hone
栋 dong4 棟 tou/mune
拳 quan2 拳 ken/kobushi
助 zhu4 助 suke/jo
弱 ruo4 弱 jaku
肩 jian1 肩 kata
抗 kang4 抗 kou
渐 jian1 漸 zen
趣 qu4 趣 omomuki
罚 fa2 罰 bachi/batsu
坑 keng1 坑 kou
桶 tong3 桶 oke
浜 bang1 浜 hama
薪 xin1 薪 maki
铜 tong2 銅 dou
敬 jing4 敬 kei
壶 hu2 壺 tsubo/ko
咳 hai1 咳 seki
斑 ban1 斑 mura/madara/buchi
蟹 xie4 蟹 kani
梨 li2 梨 nashi
柜 ju3 櫃 hitsu
轩 xuan1 軒 ken/noki
奴 nu2 奴 yatsu/yakko/me
乾 qian2 乾 ken
哲 zhe2 哲 tetsu
纽 niu3 紐 himo
弦 xian2 弦 gen/tsuru
虹 hong2 虹 niji
漆 qi1 漆 urushi
察 cha2 察 satsu
煎 jian1 煎 sen
孝 xiao4 孝 kou
钩 gou1 鉤 kagi
刑 xing2 刑 kei
筒 tong3 筒 tsutsu/pin
丙 bing3 丙 hei
券 quan4 券 ken
削 xue1 削 saku
坚 jian1 堅 ken
媚 mei4 媚 kobi
豹 bao4 豹 hyou
肾 shen4 腎 jin
棚 peng2 棚 tana
贞 zhen1 貞 tei
脂 zhi1 脂 yani/abura
柄 bing3 柄 gara/e/tsuka
丛 cong2 叢 sou
堤 di1 堤 tsutsumi
昨 zuo2 昨 saku
岳 yue4 岳 take
靴 xue1 靴 kutsu
妾 qie4 妾 mekake
肘 zhou3 肘 hiji
菱 ling2 菱 hishi
顷 qing3 頃 kei/koro
札 zha2 札 satsu/fuda/sane
伽 jia1 伽 togi
匙 chi2 匙 saji
蛙 wa1 蛙 kaeru
垣 yuan2 垣 kaki
锄 chu2 鋤 suki
膳 shan4 膳 zen
瘤 liu2 瘤 kobu
袄 ao3 襖 fusuma
鞘 qiao4 鞘 saya
槛 jian4 檻 ori
苇 wei3 葦 ashi
阀 fa2 閥 batsu
芹 qin2 芹 seri
胤 yin4 胤 tane
麓 lu4 麓 fumoto
篱 li2 籬 magaki/mase
锚 mao2 錨 ikari
樽 zun1 樽 taru
淀 dian4 澱 ori/yodo
腺 xian4 腺 sen
枷 jia1 枷 kase
箸 zhu4 箸 hashi
嵩 song1 嵩 kasa
霰 xian4 霰 arare
橹 lu3 櫓 yagura/ro
袂 mei4 袂 tamoto
雹 bao2 雹 hyou
舷 xian2 舷 gen
嗽 sou4 嗽 ugai
鳟 zun1 鱒 masu
噂 zun3 噂 uwasa
律 lü4 律 ritsu
梱 kun3 梱 kori
率 lü4 率 ritsu
絃 xian2 絃 gen
腱 jian4 腱 ken
萩 qiu1 萩 hagi
葎 lü4 葎 mugura
蓑 suo1 蓑 mino
薮 sou3 藪 yabu
蚤 zao3 蚤 nomi
袷 jia2 袷 awase
铠 kai3 鎧 yoroi
